circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,MAIN ROAD SIDE,DOMESTIC,1,14,13.0,1318.0,23.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,NACHARAM EXTN.,DOMESTIC,1,42,42.0,8239.0,50.22
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,NAGENDRA NAGAR,DOMESTIC,1,176,174.0,59287.0,678.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,NEW FOUND LAND,DOMESTIC,1,170,159.0,59343.0,685.5
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,OPP. CCMB,DOMESTIC,1,23,21.0,2458.0,38.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,P&T COLONY,DOMESTIC,1,132,130.0,21424.0,147.1
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,RAJIV NAGAR,DOMESTIC,1,322,309.0,69532.0,639.59
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,RAJIV NAGAR II POLICE QUTERS,DOMESTIC,1,60,58.0,4428.0,60.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,RAVINDRA NAGAR,DOMESTIC,1,653,647.0,147867.0,1545.76
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,RAVINDRA NAGAR - I,DOMESTIC,1,1134,1121.0,277141.0,2578.37
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,RAVINDRA NAGAR-2,DOMESTIC,1,566,566.0,124796.0,1185.82
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,SATYANARAYANA SWAMY NAGAR,DOMESTIC,1,454,453.0,123402.0,1125.98
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,SCIENTIST COLONY,DOMESTIC,1,149,147.0,44044.0,509.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,SNEHA NAGAR,DOMESTIC,1,382,379.0,110274.0,1052.4
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,SNEHAPURI,DOMESTIC,1,1020,987.0,288300.0,2733.19
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,SRINAGAR COLONY,DOMESTIC,1,377,370.0,76730.0,706.99
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,VASANTHVIHAR COLONY,DOMESTIC,1,960,944.0,248303.0,2560.5
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,VIGNANPURI,DOMESTIC,1,117,116.0,20439.0,184.38
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,VIKRAMPURI,DOMESTIC,1,790,774.0,226068.0,2560.4
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,VIVEKANANDA NAGAR,DOMESTIC,1,850,843.0,237143.0,2181.28
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,VST COLONY,DOMESTIC,1,423,416.0,56014.0,533.16
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,VST COLONY-2,DOMESTIC,1,561,555.0,85358.0,731.56
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,"VST., COLONY",DOMESTIC,1,513,505.0,78890.0,656.08
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,"VST., QUARTERS",DOMESTIC,1,119,119.0,19288.0,111.6
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,ZAHEERA NAGAR,DOMESTIC,1,182,173.0,40229.0,473.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,,DOMESTIC,1,1,1.0,404.0,5.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,MALLAPUR,3A3B,DOMESTIC,1,11,11.0,19601.0,161.94
HABSIGUDA,HABSIGUDA,HABSIGUDA,MALLAPUR,ANNAPURNA COLONY,DOMESTIC,1,775,762.0,128280.0,1320.31
HABSIGUDA,HABSIGUDA,HABSIGUDA,MALLAPUR,ASHOK NAGAR,DOMESTIC,1,841,825.0,111293.0,853.58
HABSIGUDA,HABSIGUDA,HABSIGUDA,MALLAPUR,BABA NAGAR MALLAPUR,DOMESTIC,1,665,659.0,114351.0,1195.98
HABSIGUDA,HABSIGUDA,HABSIGUDA,MALLAPUR,BANK COLONY,DOMESTIC,1,254,253.0,39379.0,387.52
HABSIGUDA,HABSIGUDA,HABSIGUDA,MALLAPUR,BEERAPPA GADDA,DOMESTIC,1,347,339.0,38717.0,388.83
HABSIGUDA,HABSIGUDA,HABSIGUDA,MALLAPUR,BHAVANI NAGAR,DOMESTIC,1,1016,1005.0,149871.0,1353.5
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,LAXMI NAGAR,DOMESTIC,1,303,298.0,56295.0,689.23
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,MADHURA NAGAR,DOMESTIC,1,909,897.0,179828.0,1675.69
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,MADURA NAGAR-2,DOMESTIC,1,203,201.0,44823.0,361.42
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,MAIN ROAD,DOMESTIC,1,176,170.0,51765.0,768.8
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,MARKANDEYA SWAMY TEMPLE,DOMESTIC,1,617,612.0,83214.0,650.85
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,NEHRU NAGAR,DOMESTIC,1,892,881.0,141508.0,1266.78
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,NETAJI NAGAR,DOMESTIC,1,456,454.0,52634.0,439.62
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,NEW GANESH NAGAR,DOMESTIC,1,545,540.0,122435.0,1111.98
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,NEW RAMANTHAPUR,DOMESTIC,1,823,805.0,124213.0,1081.46
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,OLD RAMANTHAPUR,DOMESTIC,1,1047,1014.0,135318.0,1167.34
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,PASAM SATTAIAH COLONY,DOMESTIC,1,735,722.0,147963.0,1307.62
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,"POCHAMMA TEMPLE,NEHRU NAGAR",DOMESTIC,1,686,682.0,112945.0,887.65
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,PRAGATHI NAGAR,DOMESTIC,1,525,521.0,96648.0,907.0
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,PRAGATHI NAGAR-2,DOMESTIC,1,480,470.0,89243.0,786.94
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,RAJENDRA NAGAR,DOMESTIC,1,661,650.0,79399.0,655.98
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,RAM REDDY NAGAR,DOMESTIC,1,742,729.0,79299.0,721.6
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,RAMAMANTHAPUR,DOMESTIC,1,1,1.0,0.0,7.0
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,RAMANTHAPUR,DOMESTIC,1,26,25.0,16217.0,197.69
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,SINGAPUR CITY 1,DOMESTIC,1,794,769.0,110263.0,3715.0
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,SINGAPURE TOWNSHIP-2,DOMESTIC,1,563,554.0,79269.0,2598.0
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,SINGAPURE TOWNSHIP-3,DOMESTIC,1,728,712.0,81804.0,3025.0
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,TEACHERS COLONY,DOMESTIC,1,460,453.0,46663.0,697.52
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,TELEPHONE EXCHANGE BESIDE,DOMESTIC,1,279,273.0,29147.0,405.14
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,VENKATESHWARA TEMPLE,DOMESTIC,1,216,213.0,24296.0,253.48
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,VIHAR HOMES ISMAILKHAN GUDA,DOMESTIC,1,427,420.0,77329.0,606.5
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,VIVEKANANDA EWS COLONY,DOMESTIC,1,349,345.0,36830.0,405.78
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,YAMNAMPET,DOMESTIC,1,68,40.0,2763.0,92.56
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,YAMNAMPET B M TEMPLE,DOMESTIC,1,223,211.0,27181.0,463.16
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,YAMNAMPET COLONY,DOMESTIC,1,93,88.0,8813.0,146.08
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,YAMNAMPET GP COLONY,DOMESTIC,1,360,350.0,43296.0,588.62
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,A.P MEAT FEEDER,DOMESTIC,1,220,216.0,21936.0,300.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,A.P.GOWN & CHURCH,DOMESTIC,1,272,241.0,20106.0,386.5
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,ADARSH NAGAR,DOMESTIC,1,242,239.0,35074.0,398.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,AKSHAIYA NAGAR COLONY,DOMESTIC,1,287,286.0,55962.0,352.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,BABA NAGAR,DOMESTIC,1,200,195.0,26833.0,293.5
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,BHAGATSING NAGAR,DOMESTIC,1,122,122.0,6774.0,122.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,CHANGICHERLA,DOMESTIC,1,944,853.0,118950.0,1437.9
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,CHINNA KRANTHI COLONY,DOMESTIC,1,708,697.0,100163.0,940.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,CHOWDERGUDA,DOMESTIC,1,427,398.0,64411.0,632.38
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,GANDHI NAGAR,DOMESTIC,1,438,412.0,41300.0,435.96
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,GANESH NAGAR -CHENGICHERLA,DOMESTIC,1,872,862.0,112948.0,1175.62
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,GP & DWARAKA NAGAR,DOMESTIC,1,568,553.0,77498.0,711.68
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SUMA RESIDENCY,DOMESTIC,1,396,390.0,53046.0,686.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SUPRABATH&THIRUMALA,DOMESTIC,1,232,225.0,32768.0,365.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SWARNAGIRI COLONY,DOMESTIC,1,598,584.0,73672.0,731.95
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,TEACHERS COLONY,DOMESTIC,1,471,463.0,59305.0,556.6
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,TENNUGUDA,DOMESTIC,1,101,97.0,12466.0,177.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VAIBHAV COLONY,DOMESTIC,1,239,237.0,32834.0,366.1
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VAISHNAVI NAGAR,DOMESTIC,1,174,168.0,30600.0,242.26
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VEAKAR SECTION,DOMESTIC,1,253,233.0,26899.0,261.26
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VENKAT SAI & KRISHNA NAGAR,DOMESTIC,1,519,501.0,104643.0,633.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VENKATADRI PHASE-3,DOMESTIC,1,375,368.0,65764.0,455.5
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VENKATADRI TOWN SHIP -1,DOMESTIC,1,649,634.0,97497.0,948.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VENKATAPUR,DOMESTIC,1,337,316.0,33508.0,350.18
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VIHARIKA COLONY,DOMESTIC,1,1117,1104.0,179511.0,1950.48
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VIHARIKA COLONY-2,DOMESTIC,1,823,816.0,132530.0,1535.68
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VIJAI SAI ENCLAVE & MLR,DOMESTIC,1,311,309.0,33726.0,499.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VIJAYAPURI COLONY,DOMESTIC,1,342,338.0,57719.0,531.6
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,WEAKER SECTION,DOMESTIC,1,1052,974.0,109402.0,1188.56
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,YADADRI NAGAR,DOMESTIC,1,212,210.0,34059.0,365.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,ANNAPURNA COLONY-II,DOMESTIC,1,309,301.0,76214.0,1081.7
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,ANNAPURNACOLONY,DOMESTIC,1,348,343.0,69185.0,667.26
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BALAJI ANJANDRI (COLONY),DOMESTIC,1,254,245.0,49398.0,441.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BALAJI ENCLAVE,DOMESTIC,1,216,211.0,35943.0,295.9
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BALAJI NAGAR,DOMESTIC,1,867,852.0,113618.0,1341.02
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BALLEPU ENCLAVE,DOMESTIC,1,266,262.0,56109.0,388.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BANK COLONY,DOMESTIC,1,565,538.0,86175.0,1114.28
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,A S RAO NAGAR,SOUTH KAMALA NAGAR,DOMESTIC,1,884,864.0,161237.0,1602.77
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,ANDAL NAGAR,DOMESTIC,1,288,273.0,58331.0,645.44
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,APHB COLONY,DOMESTIC,1,1026,1012.0,170625.0,1404.04
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,APHB-EWS,DOMESTIC,1,278,275.0,43372.0,292.91
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,APHB-LIG,DOMESTIC,1,399,397.0,45114.0,544.29
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,APHB-MIG,DOMESTIC,1,897,879.0,148901.0,1160.4
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,BAGH-E-HYDRI,DOMESTIC,1,227,217.0,48273.0,246.98
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,BAKSHIGUDA,DOMESTIC,1,565,519.0,66941.0,500.65
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,CHAITHANYA NAGAR,DOMESTIC,1,76,59.0,8370.0,56.7
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,DR.KRISHNA NAGAR,DOMESTIC,1,330,286.0,45032.0,329.54
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,DR.KRISHNA NAGAR ADMA SCHOOL,DOMESTIC,1,359,347.0,57821.0,393.66
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,EAST JAWAHAR NAGAR,DOMESTIC,1,959,929.0,190006.0,2233.54
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,GOPAL NAGAR,DOMESTIC,1,180,163.0,35068.0,239.4
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,HANUMAN NAGAR,DOMESTIC,1,841,779.0,106372.0,858.55
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,HANUMAN NAGAR- II,DOMESTIC,1,424,415.0,63167.0,452.34
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,HV-I,DOMESTIC,1,3,3.0,1270.0,12.0
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,INDIRA NAGAR,DOMESTIC,1,1247,1240.0,211244.0,1825.94
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,INDRA NAGAR PHASE I,DOMESTIC,1,757,744.0,100522.0,747.2
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,JAWAHAR NAGAR,DOMESTIC,1,1069,1053.0,221993.0,2675.21
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,KAILASAGIRI,DOMESTIC,1,376,295.0,33874.0,194.58
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,RAMANTHAPUR COLONY,DOMESTIC,1,785,757.0,116230.0,1454.49
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,RAMREDDYNAGAR COMMITEE HALL,DOMESTIC,1,664,659.0,75697.0,626.88
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,RAMSANKAR NAGAR,DOMESTIC,1,639,627.0,119585.0,814.26
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,RTC COLONY,DOMESTIC,1,861,857.0,139560.0,1136.4
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SAI CHITHRA NAGAR,DOMESTIC,1,402,399.0,73662.0,803.06
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SAI GARDEN,DOMESTIC,1,404,403.0,121612.0,988.4
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SAI KRISHNA NAGAR,DOMESTIC,1,824,790.0,87838.0,843.5
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SATYA NAGAR,DOMESTIC,1,489,470.0,59073.0,502.0
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SATYA NARAYANA SWAMY TEMPLE,DOMESTIC,1,667,658.0,91580.0,755.31
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SHARADA NAGAR,DOMESTIC,1,889,853.0,162009.0,1475.0
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SHARADHA NAGAR-2,DOMESTIC,1,612,611.0,116804.0,1020.12
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SRI NAGAR,DOMESTIC,1,722,715.0,89779.0,779.98
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SRI RAMA COLONY,DOMESTIC,1,962,954.0,124085.0,980.25
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SRI RAMANA PURAM,DOMESTIC,1,568,568.0,99511.0,903.8
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SRINAGAR COLONY KALUVA,DOMESTIC,1,530,523.0,66728.0,579.44
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SRINIVASA PURAM,DOMESTIC,1,729,699.0,165745.0,1294.02
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,SRINIVASAPURAM COMMITY HALL,DOMESTIC,1,616,616.0,119059.0,960.06
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,T V STUDIO COLONY,DOMESTIC,1,359,353.0,48168.0,521.7
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,VASAVI NAGAR COLONY,DOMESTIC,1,917,906.0,92678.0,904.01
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,VASAVI NAGAR KALVA KATTA,DOMESTIC,1,381,377.0,45268.0,363.8
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,VENKAT REDDY NAGAR,DOMESTIC,1,1155,1150.0,129271.0,1170.46
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,HV CT METERS C.C & MEDIPALLY,DOMESTIC,1,2,2.0,2057.0,40.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,HV CT METERS NARAPALLY,DOMESTIC,1,3,2.0,693.0,15.46
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,HV NON CT C.C & MEDIPALLY,DOMESTIC,1,2,2.0,831.0,20.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,HV NON CT NARAPALLY,DOMESTIC,1,1,1.0,56.0,10.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,INDRA NAGAR,DOMESTIC,1,382,352.0,42579.0,418.7
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,JODIMETLA X ROAD,DOMESTIC,1,162,158.0,20323.0,241.9
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,KAMALA NAGAR - I,DOMESTIC,1,833,813.0,130711.0,1501.22
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,KAMALA NAGAR-II,DOMESTIC,1,708,702.0,88804.0,1231.88
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,KORAMULLA-1,DOMESTIC,1,412,373.0,35530.0,672.76
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,KORREMULA,DOMESTIC,1,456,397.0,50158.0,586.9
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,KORREMULA 04,DOMESTIC,1,461,417.0,63762.0,1039.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,KORREMULA-3,DOMESTIC,1,174,173.0,35207.0,230.84
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,KRANTHI COLONY,DOMESTIC,1,455,437.0,52471.0,712.38
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,KRANTHI COLONY-II,DOMESTIC,1,533,530.0,64951.0,709.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,MAKTHA,DOMESTIC,1,375,355.0,54644.0,727.36
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,MAKTHA YELLAMMA TEMPLE,DOMESTIC,1,308,294.0,42950.0,368.48
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,MARUTHI COLONY,DOMESTIC,1,358,348.0,59084.0,869.96
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,MEDIPALLY,DOMESTIC,1,788,734.0,86579.0,940.64
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,MEDIPALLY OLD VILLAGE,DOMESTIC,1,364,362.0,52592.0,562.4
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,MEY VILAAS,DOMESTIC,1,213,192.0,71268.0,1021.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BANK COLONY-II,DOMESTIC,1,392,386.0,58701.0,519.58
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BHAVANI NAGAR,DOMESTIC,1,441,439.0,57348.0,519.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BUDDHA NAGAR,DOMESTIC,1,1738,1726.0,280991.0,2736.9
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BUDDHA NAGAR-1,DOMESTIC,1,771,761.0,99122.0,1114.54
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BUDDHA NAGAR-2,DOMESTIC,1,963,957.0,160277.0,1476.06
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BUDDHA NAGAR-3,DOMESTIC,1,765,759.0,115859.0,1201.55
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BUDDHA NAGAR-4,DOMESTIC,1,506,488.0,72380.0,786.08
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BUDDHA NAGAR-5,DOMESTIC,1,869,860.0,134877.0,1471.8
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,CANARA NAGAR,DOMESTIC,1,388,375.0,77955.0,1158.92
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,CHANNA REDDY THOTA,DOMESTIC,1,834,823.0,158765.0,1630.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,CHENNA REDDY COLONY,DOMESTIC,1,473,457.0,62470.0,484.04
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,DEVI SRI HOMES,DOMESTIC,1,47,46.0,5232.0,47.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,DIVYA NAGAR,DOMESTIC,1,341,325.0,60863.0,724.3
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,DREAM HOMES,DOMESTIC,1,62,61.0,7428.0,64.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,GANESH NAGAR,DOMESTIC,1,524,521.0,64237.0,1002.68
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,GAYATHRI NAGAR PHASE-II,DOMESTIC,1,427,421.0,70128.0,598.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,GAYATRI NAGAR,DOMESTIC,1,616,600.0,83315.0,791.18
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,GOURELLI ROAD,DOMESTIC,1,87,80.0,7617.0,247.94
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,HV PEERZADIGUDA,DOMESTIC,1,11,9.0,24243.0,205.14
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,I I CITY COLONY,DOMESTIC,1,239,233.0,27871.0,281.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,KACHIVANI SINGARAM,DOMESTIC,1,489,441.0,53704.0,832.06
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,KURUMA NAGAR,DOMESTIC,1,631,616.0,71578.0,784.64
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,LAXMINAGAR,DOMESTIC,1,305,294.0,31546.0,312.66
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,M K NAGAR,DOMESTIC,1,540,535.0,82014.0,771.36
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,KAILASAGIRI - III,DOMESTIC,1,171,167.0,19445.0,106.02
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,KAILASAGIRI - IV,DOMESTIC,1,205,198.0,22085.0,134.28
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,KAILASAGIRI -II,DOMESTIC,1,224,218.0,24782.0,126.54
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,KAPRA STREET LIGHT ,DOMESTIC,1,1,1.0,53.0,1.0
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,KASTURIBA NAGAR,DOMESTIC,1,389,382.0,59457.0,397.22
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,KRISHNA NAGAR - III,DOMESTIC,1,443,439.0,56946.0,705.74
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,KRISHNA NAGAR COLONY,DOMESTIC,1,1324,1295.0,241052.0,2313.93
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,"KRISHNA NAGAR(RD:3,6,9&10)",DOMESTIC,1,774,764.0,104102.0,1156.88
